bank,file_start,file_end,cpu_start,cpu_end,classification,status,confidence,source_sha256,notes
0x38,0x0e0000,0x0e3fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=0adc5f68df6ea673b2cfa76fe4e7cc08bed5d93fd8c663712f535364952d9445; entropy=7.102623; unique_bytes=256; zero_bytes=1106; ff_bytes=514
0x39,0x0e4000,0x0e7fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=e2532f42aa0a1878e3914985105dddc79782e0a81f4db152c681120baa5640b9; entropy=6.921772; unique_bytes=256; zero_bytes=1848; ff_bytes=918
0x3a,0x0e8000,0x0ebfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=5284013f6e842abab4248dc9b0c19b495c047ed3e493d3e5bac2d503d0f416a2; entropy=7.005516; unique_bytes=256; zero_bytes=554; ff_bytes=171
0x3b,0x0ec000,0x0effff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=68e6906258ba11cae661dadce943da3fa017c9cf71e3a30ab25d0add58968a68; entropy=6.374539; unique_bytes=247; zero_bytes=1245; ff_bytes=128
0x3c,0x0f0000,0x0f3fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=1b3ec4cd75ed1cd4880083bf621b08e3b52fc4181dc3723c02cc749afae67449; entropy=6.714906; unique_bytes=256; zero_bytes=1586; ff_bytes=578
0x3d,0x0f4000,0x0f7fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=c949b705d2cfbb923ff2af60f19fd9c47452f1e654c0ac56bb35e7429c9ad6ed; entropy=6.525259; unique_bytes=247; zero_bytes=1104; ff_bytes=149
0x3e,0x0f8000,0x0fbfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=1e37f413a4d938b762a3cfdec14be32d46ab492cace719074409576d12971225; entropy=5.520849; unique_bytes=256; zero_bytes=1450; ff_bytes=4506
0x3f,0x0fc000,0x0fffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=4ff3f1f7a87a475cc5650451bd0c800967aa99a2d07301fa1ed8ba080e86c1a6; entropy=6.60564; unique_bytes=256; zero_bytes=3370; ff_bytes=374
0x40,0x100000,0x103fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=2f5180fa0e20fd4923fe30378e4780b1570dc350d09a68a3c2751002dea27264; entropy=6.801942; unique_bytes=256; zero_bytes=860; ff_bytes=41
0x41,0x104000,0x107fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=3def3b3220e8c263588416c0bcd3a7a6599eccedbf1a738b5c741c51c6a53a27; entropy=5.687023; unique_bytes=255; zero_bytes=4067; ff_bytes=2506
